supplier-id,kem-id,sticker,quantity,description
05S5266000-18,IN05S5266000-18,05S5266000-18_LMSZ5266BT1G.btw,3000,SMD ZENER DIODE LMSZ5266BT1G 68(64.6~71.4)V -50~150°C1/2W SOD-123 Reel
06S0951001-40,IN06S0951001-40,06S0951001-40_NCEP095N10AG.btw,6000,"SMD NCEP095N10AG 60A/100V RDS(on)=9.5mOmax(ID=30A),-55~150°C,DFN5*6-8L Packing:Reel"
06S5551100-24,IN06S5551100-24,06S5551100-24_LMBT5551LT1G.btw,2500,TRANSISTOR SMD LMBT5551LT1G 0.6A/160V NPN -55~150°C SOT-23 PACKING :REEL
06S5616003-33,IN06S5616003-33,06S5616003-33_BCX56A-16-TP.btw,2500,SMD TRANSISTOR BCX56A-16-TP 1A/100V NPN -55~150? SOT-89 Packing:Reel
07G2904000-07,IN07G2904000-07,07G2904000-07_LM2904DR.btw,2500,"SMD OPERATIONAL AMPLIFIER IC, LM2904DR SO-8 Packing:Reel"
07S1001001-35,IN07S1001001-35,07S1001001-35_HR1001AGS-Z.btw,2500,SMD IC HR1001AGS-Z -40~125°C SOIC-16 Packing:Reel
07S1611001-02,IN07S1611001-02,07S1611001-02_NCP1611ADR2G.btw,2500,SMD IC NCP1611ADR2G VCCon:10.5V -40~125°C SOIC-8 Packing:Reel
07S2903300-07,IN07S2903300-07,07S2903300-07_LM2903DR.btw,2500,"SMD VOLTAGE COMPARATORS IC, LM2903DR -40~125°C SO-8 Packing:Reel"
07S6924001-35,IN07S6924001-35,07S6924001-35_MP6924GS-Z.btw,2500,SMD IC MP6924GS-Z -40~125? SOIC-8 Packing:Reel
01S2403310-00,IN01S2403310-00,01S2403310-00_0603_240K_1%.btw,5000,SMD RES 0603 240K 1/10W 1% -55~155°C
01S3001310-00,IN01S3001310-00,01S3001310-00_0603_3K_1%.btw,5000,RES SMD 0603 3K 1/10W 1% -55~155°C
01S9102310-00,IN01S9102310-00,01S9102310-00_0603_91K_1%.btw,5000,SMD RES 0603 91K 1/10W 1% -55~155°C
04S6010501-16,IN04S6010501-16,04S6010501-16_SB5-A600XHC.btw,3000,SMD GAS DICHARGE TUBE S5B-A600XHC(480~720V) 5*5.4*5.4 -40~125°C SMD Packing:Reel
01S1004K11-00,IN01S1004K11-00,01S1004K11-00_0402_1M_1%.btw,10000,SMD RES 0402 1M 1/16W 1% -55~155°C
01S1008Y11-02,IN01S1008Y11-02,01S1008Y11-02_1206_1R0_1%.btw,5000,SMD RES 1206 1R 1% -55~155°C ANTI SURGE
01S1200K11-00,IN01S1200K11-00,01S1200K11-00_0402_120 OHM_1%.btw,10000,RES SMD 0402 120R 1/16W 1% -55~155?
01S2003K11-00,IN01S2003K11-00,01S2003K11-00_0402_200K_1%.btw,10000,SMD RES 0402 200K 1/16W 1% -55~155°C
01S2401K11-00,IN01S2401K11-00,01S2401K11-00_0402_2K4_1%.btw,10000,RES SMD 0402 2.4K 1/16W 1% -55~155°C
01S2403K11-00,IN01S2403K11-00,01S2403K11-00_0402_240K_1%.btw,10000,SMD RES 0402 240K 1/16W 1% -55~155°C
01S5600K11-00,IN01S5600K11-00,01S5600K11-00_0402_560 OHM_1% (1).btw,10000,SMD RES 0402 560R 1/16W 1% -55~155°C
01S5601K11-00,IN01S5601K11-00,01S5601K11-00_0402_5K6_1%.btw,10000,SMD RES 0402 5.6K 1/16W 1% -55~155°C
01S5607K11-00,IN01S5607K11-00,01S5607K11-00_0402_56 OHM.btw,10000,SMD RES 0402 56R 1/16W 1% -55~155°C
01S6800K11-00,IN01S6800K11-00,01S6800K11-00_0402_680 r_1%.btw,10000,SMD RES 0402 680R 1/16W 1% -55~155°C
01S7503K11-00,IN01S7503K11-00,01S7503K11-00_0402_750K_1%.btw,10000,SMD RES 0402 750K 1/16W 1% -55~155°C
01S8200K11-0,IN 01S8200K11-0,01S8200K11-00_0402_820 OHM_1%.btw,#N/A,#N/A
01S8203K11-00,IN01S8203K11-00,01S8203K11-00_0402_820K_1%.btw,10000,RES SMD 0402 820K 1/16W 1% -55~155°C
01S1000210-00,IN01S1000210-00,01S1000210-00_0805_100 ohm_1%.btw,5000,SMD RES 0805 100R 1/8W 1% -55~155°C
01S1002311-13,IN01S1002311-13,01S1002311-13_JSNB103F344F.btw,5000,SMD THERMISTER RES 0603 10K 1/10W 1% -40~12 NTC PACKING:REEL
01S1007221-02,IN01S1007221-02,01S1007221-02_0805_10R_5%.btw,5000,RES SMD 0805 10R 5% -55~155°C
01S1104110-00,IN01S1104110-00,01S1104110-00_1206_1M1_1%.btw,5000,SMD RES 1206 1.1M 1/4W 1% -55~155°C
01S1202110-00,IN01S1202110-00,01S1202110-00_1206_12K_1%.btw,5000,SMD RES 1206 12K 1/4W 1% -55~155°C
01S1208110-00,IN01S1208110-00,01S1208110-00_1206_1.2r_1%.btw,5000,SMD RES 1206 1.2R 1/4W 1% -55~155°C
01S1603110-00,IN01S1603110-00,01S1603110-00_1206_160K_1%.btw,5000,RES SMD 1206 160K 1/4W 1% -55~155°C
01S1801110-00,IN01S1801110-00,01S1801110-00_1206_1k8_1%.btw,5000,SMD RES 1206 1.8K 1/4W 1% -55~155°C
01S1803310-00,IN01S1803310-00,01S1803310-00_0603_180K_1%.btw,5000,SMD RES 0603 180K 1/10W 1% -55~155°C
01S2001210-00,IN01S2001210-00,01S2001210-00_0805_2.0K_1%.btw,5000,RES SMD 0805 2K 1/8W 1% -55~155°C
01S2408110-00,IN01S2408110-00,01S2408110-00_1206_2R4_1%.btw,5000,SMD RES 1206 2.4R 1/4W 1% -55~155°C
01S3002110-00,IN01S3002110-00,01S3002110-00_1206_30K_1%.btw,5000,SMD RES 1206 30K 1/4W 1% -55~155°C
01S3302210-00,IN01S3302210-00,01S3302210-00_0805_33K_1%.btw,5000,SMD RES 0805 33K 1/8W 1% -55~155°C
01S3602210-00,IN01S3602210-00,01S3602210-00_0805_36K_1%.btw,5000,SMD RES 0805 36K 1/8W 1% -55~155°C
01S4303110-00,IN01S4303110-00,01S4303110-00_1206_430K_1%.btw,5000,SMD RES 1206 430K 1/4W 1% -55~155°C
01S5107210-00,IN01S5107210-00,01S5107210-00_0805_51OHM_1%.btw,5000,SMD RES 0805 51R 1/8W 1% -55~155°C
01S6203110-00,IN01S6203110-00,01S6203110-00_1206_620K_1%.btw,5000,SMD RES 1206 620K 1/4W 1% -55~155°C
01S6802110-00,IN01S6802110-00,01S6802110-00_1206_68K_1%.btw,5000,SMD RES 1206 68K 1/4W 1% -55~155°C
01S8201110-00,IN01S8201110-00,01S8201110-00_1206_8K2_1% (2).btw,5000,SMD RES 1206 8.2K 1/4W 1% -55~155?
01S8201340-00,IN01S8201340-00,01S8201340-00_0603_8K2_1%.btw,5000,SMD RES 0603 8.2K 1/10W 0.1% -55~155°C
01S8202310-00,IN01S8202310-00,01S8202310-00_0603_82K_1%.btw,5000,"SMD RES 0603, 82K 1/10W 1% -55~155?"
01S8203110-00,IN01S8203110-00,01S8203110-00_1206_820K_1%.btw,5000,SMD RES 1206 820K 1/4W 1% -55~155°C
01S9101310-00,IN01S9101310-00,01S9101310-00_0603_9K1_1%.btw,5000,SMD RES 0603 9.1K 1/10W 1% -55~155°C
02S1510501-00,IN02S1510501-00,02S1510501-00_0402_150PF_5%.btw,10000,SMD CAP 0402 151J/50V COG -55~125°C ±5%
02S2220530-00,IN02S2220530-00,02S2220530-00_0603_2.2NF_10%.btw,5000,SMD CAP 0603 222K/50V X7R -55~125°C±10%
02S2250590-00,IN02S2250590-00,02S2250590-00_1206_2.2UF_10%.btw,3000,SMD CAP 1206 225K/50V X7R -55~125°C ±10%
02S3300521-00,IN02S3300521-00,02S3300521-00_0402_33 PF_5%.btw,10000,"SMD CAP 0402, 330J/50V COG -55~125°C ±5%"
